country_iso3,indicator_id,item,element,product_slug,year,value,unit,source_dataset,n_editions_reporting,notes
IRN,eggs__production,Hen eggs in shell,Production,eggs,1996,486000.0,t,cbi-annual-review-livestock-table,1,
IRN,eggs__production,Hen eggs in shell,Production,eggs,1997,470000.0,t,cbi-annual-review-livestock-table,2,
IRN,eggs__production,Hen eggs in shell,Production,eggs,1998,625000.0,t,cbi-annual-review-livestock-table,3,
IRN,eggs__production,Hen eggs in shell,Production,eggs,1999,570000.0,t,cbi-annual-review-livestock-table,5,"Reported in 5 edition(s), median used. Values: cbi_annual_review_1379_2000-01=-8.8; cbi_annual_review_1379_2000-01=570.0; cbi_annual_review_1380_2001-02=570.0; cbi_annual_review_1381_2002-03=570.0; cbi_annual_review_1382_2003-04=570.0"
IRN,eggs__production,Hen eggs in shell,Production,eggs,2000,580000.0,t,cbi-annual-review-livestock-table,7,"Reported in 7 edition(s), median used. Values: cbi_annual_review_1379_2000-01=1.8; cbi_annual_review_1379_2000-01=580.0; cbi_annual_review_1380_2001-02=1.8; cbi_annual_review_1380_2001-02=580.0; cbi_annual_review_1381_2002-03=580.0; cbi_annual_review_1382_2003-04=580.0; cbi_annual_review_1383_2004-05=580.0"
IRN,eggs__production,Hen eggs in shell,Production,eggs,2001,581000.0,t,cbi-annual-review-livestock-table,7,"Reported in 7 edition(s), median used. Values: cbi_annual_review_1380_2001-02=0.2; cbi_annual_review_1380_2001-02=581.0; cbi_annual_review_1381_2002-03=0.2; cbi_annual_review_1381_2002-03=581.0; cbi_annual_review_1382_2003-04=581.0; cbi_annual_review_1383_2004-05=581.0; cbi_annual_review_1384_2005-06=581.0"
IRN,eggs__production,Hen eggs in shell,Production,eggs,2002,547000.0,t,cbi-annual-review-livestock-table,7,"Reported in 7 edition(s), median used. Values: cbi_annual_review_1381_2002-03=-5.8; cbi_annual_review_1381_2002-03=547.0; cbi_annual_review_1382_2003-04=-5.8; cbi_annual_review_1382_2003-04=547.0; cbi_annual_review_1383_2004-05=547.0; cbi_annual_review_1384_2005-06=547.0; cbi_annual_review_1385_2006-07=547.0"
IRN,eggs__production,Hen eggs in shell,Production,eggs,2003,629000.0,t,cbi-annual-review-livestock-table,7,"Reported in 7 edition(s), median used. Values: cbi_annual_review_1382_2003-04=15.0; cbi_annual_review_1382_2003-04=629.0; cbi_annual_review_1383_2004-05=15.0; cbi_annual_review_1383_2004-05=629.0; cbi_annual_review_1384_2005-06=629.0; cbi_annual_review_1385_2006-07=629.0; cbi_annual_review_1386_2007-08=629.0"
IRN,eggs__production,Hen eggs in shell,Production,eggs,2004,655000.0,t,cbi-annual-review-livestock-table,7,"Reported in 7 edition(s), median used. Values: cbi_annual_review_1383_2004-05=2.5; cbi_annual_review_1383_2004-05=645.0; cbi_annual_review_1384_2005-06=4.1; cbi_annual_review_1384_2005-06=655.0; cbi_annual_review_1385_2006-07=655.0; cbi_annual_review_1386_2007-08=655.0; cbi_annual_review_1387_2008-09=655.0"
IRN,eggs__production,Hen eggs in shell,Production,eggs,2005,758000.0,t,cbi-annual-review-livestock-table,7,"Reported in 7 edition(s), median used. Values: cbi_annual_review_1384_2005-06=15.9; cbi_annual_review_1384_2005-06=759.0; cbi_annual_review_1385_2006-07=15.7; cbi_annual_review_1385_2006-07=758.0; cbi_annual_review_1386_2007-08=758.0; cbi_annual_review_1387_2008-09=758.0; cbi_annual_review_1388_2009-10=758.0"
