fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
preliminary_actuals_1972,1972,Total Revenues,,301.8,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,3.9842,13.8776,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Total Revenues,,361.6,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,5.2492,15.1286,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Total Revenues,Oil,23.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3129,1.3804,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Total Revenues,Oil,27.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3657,1.6071,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Total Revenues,Oil,36.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.4805,2.0324,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Total Revenues,Oil,50.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.6601,2.7353,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Total Revenues,Oil,47.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.6257,2.6026,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Total Revenues,Oil,54.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.7129,2.9165,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Total Revenues,Oil,61.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.8158,3.3136,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Total Revenues,Oil,76.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.0086,3.9606,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Total Revenues,Oil,85.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.1287,4.3564,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Total Revenues,Oil,155.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,2.0541,7.6146,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Total Revenues,Oil,181.7,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,2.3987,8.3551,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Total Revenues,Oil,225.9,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,3.2793,9.4512,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Total Revenues,Non-Oil,29.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3855,1.7007,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Total Revenues,Non-Oil,31.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.4092,1.7985,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Total Revenues,Non-Oil,32.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.4264,1.8035,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Total Revenues,Non-Oil,40.9,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.5399,2.2374,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Total Revenues,Non-Oil,48.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.6442,2.6795,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Total Revenues,Non-Oil,56.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.7406,3.0299,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Total Revenues,Non-Oil,67.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.8924,3.6246,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
